Marker Env_1 Env_2 Loglikelihood Gscore WaldScore NumError Efron McFadden McFaddenAdj CoxSnell Nagelkerke AIC BIC GscorePop WaldScorePop Beta_0 Beta_1 Beta_2 
ARS-BFGL-NGS-106520_AA longitude pop1 -298.1794277190288928736 28.34641714306359716602 26.48048714963593105315 0 0.3503045144460390457049 0.0453756649530801910641 0.03577113580414321405889 0.0430615217903930765737 0.06934983705812689425314 602.3588554380577857472 615.761951616370849294 28.34641714306359716602 26.48048714963593105315 14.23155769082482114112 -0.4654427828300797651982 50.83717723630651580055 
Hapmap28985-BTA-73836_GG bio3 pop1 -278.5074879804828043572 29.3734297151242874091 25.64659043413950888571 0 0.3582577727805506832208 0.05009210521694664342701 0.03985997930531276131887 0.04458637368272034688958 0.0745973896267803326368 563.0149759609656087145 576.4180721392786722612 29.3734297151242874091 25.64659043413950888571 10.06656399276989816236 -0.1438480208158124855838 43.22081302763624099592 
BTA-73842-no-rs_TT prec10 pop1 -212.4676093734908653154 26.55795703937324353516 25.04738681633728067562 0 0.3570131120270318850554 0.05882249935033431807556 0.0455332619448077736881 0.04160256816549508468526 0.08087445634184130089462 430.9352187469817306309 444.2484736961909331243 26.55795703937324353516 25.04738681633728067562 0.4999997366245196106309 -0.01962846439240978402001 -46.52524580888779967558 
ARS-BFGL-NGS-106520_GG prec10 pop1 -255.563819169816017346 26.11135172102333568134 24.95247258200895829408 0 0.3264797229155570198285 0.04860286055946034589666 0.03743464657833699545065 0.03973460270033625149882 0.07022880194088940256384 517.1276383396320346919 530.5307345179450982386 26.11135172102333568134 24.95247258200895829408 0.642923596789858510926 -0.01722057974852973830095 -41.4857930877318392647 
BTA-73842-no-rs_CC longitude pop1 -292.5484816882037361618 25.00526551774020111996 23.33835540356260247925 0 0.3726922943933093976114 0.04098536988311609312189 0.03115095244314801858822 0.03921865529971788695476 0.06292641703732849911763 591.0969633764074723237 604.4102183256166748171 25.00526551774020111996 23.33835540356260247925 13.98005426141122599978 -0.449308637865385562311 51.74838620798465764136 
BTA-73842-no-rs_TT bio12 pop1 -215.2432045013355169927 21.0067667836839401807 20.83810031368416991297 0 0.3465316105555074196391 0.04652731848515085939094 0.03323808107962431500348 0.03305225848320106108195 0.06425284672487928343791 436.4864090026710339854 449.7996639518802364788 21.0067667836839401807 20.83810031368416991297 1.902061658401778628967 -0.003258017077577488685332 -41.46729701270380513342 
ARS-BFGL-NGS-106520_GG prec9 pop1 -258.3267410387597095289 20.58550798313595131539 19.87261193443460467745 0 0.3125754658361618624975 0.03831722634429754578873 0.02714901236317419539693 0.03145959176119972821543 0.05560315918094822388923 522.6534820775194190579 536.0565782558324826046 20.58550798313595131539 19.87261193443460467745 0.7912909907927205450397 -0.01899035811346003015957 -38.64067426975813972223 
ARS-BFGL-NGS-106520_GG bio12 pop1 -258.687644189930356281 19.86370168079465781119 19.76541018811916533386 0 0.3196973176999165876916 0.03697367847138571540213 0.02580546449026236501033 0.03037342639160852617855 0.05368341952251122259202 523.3752883798607125621 536.7783845581737761088 19.86370168079465781119 19.76541018811916533386 1.847693137958270788988 -0.002854676150391468145729 -37.48341748974914920331 
BTA-73842-no-rs_TT prec9 pop1 -218.0774262614120636572 15.33832326353084685167 14.97396049436665705495 0 0.3321783408983089299574 0.03397243654196201834801 0.02068319913643547396055 0.02424262749810374227132 0.04712712233070817666324 442.1548525228241273144 455.4681074720333298078 15.33832326353084685167 14.97396049436665705495 0.3129146774587198952266 -0.01835678079208753557075 -42.15465476960589185154 
Hapmap28985-BTA-73836_CC bio12 pop1 -268.2394748977666388279 14.67188653610071080724 14.64590019840660781256 0 0.3625523381801366316142 0.02662045590596266980005 0.0157341438394964784858 0.02252487254920549464938 0.03916911256036761068328 542.4789497955332776558 555.8820459738463412025 14.67188653610071080724 14.64590019840660781256 1.632289464457865062978 -0.002392197353117775606735 -41.6028044188960297485 
