Marker Env_1 Env_2 Loglikelihood Gscore WaldScore NumError Efron McFadden McFaddenAdj CoxSnell Nagelkerke AIC BIC GscorePop WaldScorePop Beta_0 Beta_1 Beta_2 
ARS-BFGL-NGS-46098_CC prec4 prec5 -353.1911996498655999521 77.02492386506208715824 68.59449595897504149689 0 0.1607978496211430382841 0.09832040317659826716024 0.09066155212608559185164 0.1127282014100920214204 0.1601876034191017350155 712.3823992997311999043 725.785495478044263451 77.02492386506208715824 68.59449595897504149689 0.5233401513675722896706 -0.03382544273090797965305 0.03966683289276488252873 
ARS-BFGL-NGS-46098_CC longitude bio19 -327.4802504052953600333 69.73360763814000445882 59.58223682433443534751 0 0.2348329616235055129552 0.09622488554158486665337 0.08794553025216005060199 0.1026254983594150628728 0.1519375254818411082378 660.9605008105907200666 674.3635969889037836134 90.718151249596380159 74.79783412090755230495 -26.53360946154268005734 0.7404049843790172177362 0.009469609036127725307313 
ARS-BFGL-NGS-46098_CC longitude bio3 -326.894126525311832232 70.90585539810706006136 52.90099786030495498598 0 0.2469201008431567933546 0.09784246149025147232204 0.08956310620082665627066 0.1042574679601207674937 0.154353664031779413683 659.7882530506236644641 673.1913492289367280108 93.29301176270520007394 74.67987509518629775374 -7.136418110833445328355 0.7758566972121181995708 -0.2171810568393128990208 
ARS-BFGL-NGS-46098_CC longitude latitude -328.6458892417755675852 55.41044736995364067278 48.82826890914141578642 0 0.2382393425114944297046 0.0777469823439883605436 0.06932831914588394778319 0.08244345116462697780051 0.1231702953865645918744 663.2917784835511351704 676.6948746618641987172 55.41044736995364067278 48.82826890914141578642 -20.36147246502576250299 0.6109727286173866839594 0.7647616236352272890394 
Hapmap41762-BTA-117570_CC longitude bio3 -337.3035750540339915704 61.40397104725382448898 47.24214229763074857429 0 0.1859147169280638209874 0.08342804786817294474509 0.07527599713477946285524 0.09094327328911845442034 0.1335243187758704052433 680.6071501080679831408 694.0102462863810466875 61.40397104725382448898 52.99157158226728205411 -2.776390535013548431162 0.6065335086628280140595 -0.2018457714281257110576 
ARS-BFGL-NGS-46098_CC longitude bio15 -336.7448492992902830401 51.20440985015015844528 45.54820642339191057169 0 0.2120292459345340511413 0.07065658358911947782913 0.06237722829969466177774 0.07643117252712134941216 0.1131567048062097579939 679.4896985985805660802 692.8927947768936296269 53.97876859061506982229 47.95443930955327258708 -22.90733770404091682732 0.6009854326610125961421 0.09277997414607835758839 
Hapmap41762-BTA-117570_CC prec4 prec5 -363.4290392657344944127 48.65148890140297854856 45.28559435688797968345 0 0.09897515648290119543709 0.06273486613769500228879 0.05499801768092936812967 0.07276272883634561379051 0.1039363067188544240859 732.8580785314689888255 746.2611747097820523722 55.38917116673659296611 51.0574944281942068626 1.103258392018334360131 -0.02842779847043873724586 0.02976804038698660221525 
Hapmap41762-BTA-117570_CC bio19 prec9 -348.5163825443783710833 54.21561136147994819368 43.21398037330865927672 0 0.138725181596746859156 0.07216735910652744662944 0.06418065299429474363435 0.08073949578698727096984 0.1172592088386632916712 703.0327650887567421667 716.4358612670698057134 86.94422833721907972748 73.04863422923104272766 0.3862862220954690005946 0.01234607189292157975688 -0.03036654008443840842911 
ARS-BFGL-NGS-46098_CC longitude bio14 -340.8030957560665830108 43.08791693659755850376 41.40690639332027242828 0 0.1916026869232021349388 0.05945669549988601875401 0.05117734021046120270262 0.06471754398341125286359 0.09581462351261380479283 687.6061915121331660217 701.0092876904462295684 72.67492411066556207144 62.38588535970491378083 -19.9017392469226067353 0.6720130951236563962917 -0.03920456456840949194676 
Hapmap41762-BTA-117570_CC longitude bio19 -345.7460108101353360721 45.46669025066494945753 40.87402279826009340175 0 0.161156586827367798566 0.06169503056044689276623 0.05355346183569751152866 0.06816586856621116379505 0.100013328887058272451 697.4920216202706721442 710.895117798583735691 59.75635482996601821615 52.98914007834648407652 -20.58285488442031673645 0.580352272481065545773 0.007438151889653001946413 
BTA-122374-no-rs_AA longitude bio3 -396.5586402082119495127 46.43803447049022320448 40.50218674715576169798 0 0.1146261311191431844412 0.05531265617292328558383 0.04816601569121996371126 0.06957029315640424037151 0.09550283463604721123386 799.1172804164238990254 812.5203765947369625722 46.43803447049022320448 40.50218674715576169798 -5.274780253052734130779 0.5265832871060640575341 -0.1555064515967594600927 
ARS-BFGL-NGS-46098_CC bio19 prec9 -348.5883137076461598669 48.50202464489478049181 40.00677717786945630091 0 0.1660647168460342999849 0.06504413732496121193678 0.05699777582135239894362 0.0725475038162480766169 0.1057774398335895757418 703.1766274152923197338 716.5797235936053832805 105.5838132987876413771 86.08292405467393373225 -0.4134854706785183363555 0.01361318382165386886344 -0.02799833828501502644008 
Hapmap41762-BTA-117570_CC longitude bio1 -345.7951299790918580357 45.36845191275190553037 38.74032737263555609131 0 0.164124916394976992065 0.06156172819719285944874 0.05342015947244347821117 0.0680237120154086613924 0.09980475603134749060783 697.5902599581837160714 710.9933561364967796181 47.71162430241921031948 43.666188810463196876 -29.11889196977334891975 0.5193804682031020472036 0.05673452674012024261381 
ARS-BFGL-NGS-46098_CC longitude bio2 -341.1605219997722411307 41.57671905266090051079 37.97332747508316468793 0 0.1863509285671919151199 0.05743451793159154921764 0.04914605468962502087807 0.06252025129533874048997 0.09261658586147761961112 688.3210439995444822614 701.7241401778575458081 41.57671905266090051079 38.91840944877852150746 -26.69880380021836375516 0.5231613324459233056837 0.08541920525148428918637 
Hapmap41762-BTA-117570_CC bio3 prec10 -345.4953036764382184598 45.02051380244537071018 36.97942115555742794569 0 0.142360831034411474392 0.06116825209349602645616 0.05301620136010254456631 0.06752005101846821804104 0.09913398198557819567287 696.9906073528764369196 710.3937035311895004663 73.77938538006364982413 55.5374861383755075786 22.29629080632345602443 -0.2362626901908434370962 -0.01925951686840124345125 
BTA-122374-no-rs_AA bio19 prec9 -398.5822876693944221971 38.71745035052523176144 36.95705008185640694576 0 0.1078054938254148054739 0.04631927611865646078875 0.03914122967717200427332 0.05834872046445864230552 0.08026953748128116147251 803.1645753387888443942 816.5676715171019079409 68.12367316193405297753 60.54908396439283486609 -1.291904480204446727478 0.01000617621242187308695 -0.02156722514883982087958 
ARS-BFGL-NGS-46098_CC longitude bio1 -340.9071518392823060828 42.87980477016611235985 36.82610955259260792846 0 0.1960961093716477187288 0.05916952307222971018698 0.0508901677828048941356 0.06441525343741281544848 0.09536708095964413528956 687.8143036785646121656 701.2173998568776757123 74.0892083629992815319 64.17863535717243028689 -33.21750094009623825372 0.6561783071765758064333 0.05493667428516289909571 
ARS-BFGL-NGS-46098_CC bio3 prec10 -351.7452078187360798578 43.59084917585670482243 36.32578654933296216298 0 0.1635841355654713133103 0.05834820283807897405666 0.0503169480300773258423 0.06544766832271633745337 0.09533056971057500648682 709.4904156374721597156 722.8935118157852232623 76.91645194620926678786 57.82773255533330206482 22.25452267463790030633 -0.2379173947683132042154 -0.01852837306873280247613 
ARS-BFGL-NGS-46098_CC bio19 prec10 -351.4927310575657772862 42.69318994505554565322 36.26947601056156824176 0 0.1573347284482553292036 0.05725414000669229967885 0.04920777850308348663148 0.06414410548283507620916 0.09352491679900377885505 708.9854621151315545724 722.3885582934446181191 77.42140546854987193104 65.5296042645180419825 -0.2534898100196950618886 0.009889331135047904617021 -0.01799578350924255851528 
BTA-122374-no-rs_AA longitude bio19 -398.964456039992757086 37.95311360932856198369 34.88153973125284286819 0 0.1020386828341622008636 0.045404868681116030576 0.03822682223963157400635 0.05723045035067959488513 0.07873114856550604646131 803.9289120799855141719 817.3320082582985777186 37.95311360932856198369 34.88153973125284286819 -17.36169191776737258555 0.4468770788688985364629 0.006666814473669376998254 
Hapmap41762-BTA-117570_CC bio19 prec10 -355.0722220077987215381 41.1039324346392472842 34.74411503592358002948 0 0.1207608505481935335215 0.05471417140208888760591 0.04672746528985618461082 0.06183175655078824181719 0.08979920896928363359288 716.1444440155974430762 729.5475401939105066229 54.62554871734264366756 48.50564531433913028138 0.3579249226621425820395 0.008193069645038333243386 -0.01775247165092845165537 
ARS-BFGL-NGS-106520_AA bio12 prec4 -398.3548314881493694339 37.72524521283686987916 34.63217321729531520194 0 0.08980556029602133883121 0.04521053091451676013771 0.03802003595665238782578 0.05689680843061324763861 0.07833836923722570577065 802.7096629762987388679 816.1127591546118024146 37.72524521283686987916 34.63217321729531520194 -0.9885083652490538333934 0.00482583153295470152739 -0.03457124518652269677278 
